Date/Time,Time,CPU Usage,Temperature
2017-04-10,12:27:12,51.3,80.6
2017-04-10,12:27:44,46.8,82.7
2017-04-10,12:28:17,22.2,76.3
2017-04-10,12:28:49,4.1,74.7
2017-04-10,12:29:21,3.4,73.1
2017-04-10,12:29:53,7.7,74.1
2017-05-02,12:00:03,3.6,63.4
2017-05-02,12:00:26,3.1,63.4
2017-05-02,12:00:47,4.1,64.5
2017-05-02,12:01:08,3.2,63.9
2017-05-02,12:01:30,2.2,62.8
2017-05-02,12:01:51,3.3,63.4
2017-05-02,12:02:12,3.7,63.4
2017-05-02,12:02:34,3.3,63.4
2017-05-02,12:02:55,4.2,62.8
2017-05-02,12:03:19,3.1,63.4
2017-05-02,12:03:41,2.7,61.8
2017-05-02,12:04:02,3.9,62.3
2017-05-02,12:04:24,3.8,63.4
2017-05-02,12:04:45,3.9,63.4
2017-05-02,12:05:07,3.1,63.9
2017-05-02,12:05:29,3.3,62.8
2017-05-02,12:05:58,4,63.4
2017-05-02,12:06:20,3.4,63.4
2017-05-02,12:06:42,4,63.4
2017-05-02,12:07:48,4,63.4
2017-05-02,12:08:11,3,62.8
2017-05-02,12:08:32,3.1,63.4
2017-05-02,12:08:54,3.2,62.8
2017-05-02,12:09:15,3.3,62.8
2017-05-02,12:09:36,3.1,62.3
2017-05-02,12:09:58,3,62.8
2017-05-02,12:10:20,4.1,62.8
2017-05-02,12:10:46,3.3,62.8
2017-05-02,12:11:08,3,63.4
2017-05-02,12:11:31,3.3,63.4
2017-05-02,12:11:53,3.2,63.4
2017-05-02,12:12:15,2.8,62.8
2017-05-02,12:12:37,3.1,62.8
2017-05-02,12:12:58,14.5,66.1
2017-05-02,12:13:21,6.1,64.5
2017-05-02,12:14:03,4.3,64.5
2017-04-17,13:09:19,10.7,59.1
2017-04-17,13:09:50,1.9,58
2017-04-17,13:10:21,2.9,58.5
2017-04-17,13:10:52,2.6,60.1
2017-04-17,13:11:24,2,59.1
2017-04-17,13:11:55,2.6,60.1
2017-04-17,13:12:27,2.2,60.1
2017-04-17,13:12:58,2.4,60.1
2017-04-17,13:13:29,2.6,61.2
2017-04-17,13:14:01,2.1,61.2
2017-04-17,13:14:32,3.4,61.8
2017-04-17,13:15:04,2.5,62.3
2017-04-17,13:15:35,2,61.2
2017-04-17,13:16:07,2.6,62.3
2017-04-17,13:16:38,2.7,62.8
2017-04-17,13:17:09,2.1,62.3
2017-04-17,13:17:41,2.6,62.3
2017-04-17,13:18:13,1.8,62.3
2017-04-17,13:18:44,2.5,62.3
2017-04-17,13:19:15,3,63.9
2017-04-17,13:19:47,2,62.8
2017-05-01,13:07:12,9.8,59.1
2017-05-01,13:07:43,35.7,66.6
2017-05-01,13:08:15,37.4,65.5
2017-05-01,13:08:47,41.4,68.8
2017-05-01,13:09:18,27.7,68.8
2017-05-01,13:09:50,14.3,63.4
2017-05-01,13:10:22,10.2,66.1
2017-05-01,13:10:54,33.6,68.8
2017-05-01,13:11:25,47.7,73.1
2017-05-01,13:11:57,43.2,68.8
2017-05-01,13:12:28,37.1,71.4
2017-05-01,13:13:00,32,69.8
2017-05-01,13:13:32,28.5,70.9
2017-05-01,13:14:03,28,70.9
2017-05-01,13:14:35,48,73.1
2017-05-01,13:15:06,35,72
2017-05-01,13:15:38,17.9,67.7
2017-05-01,13:16:09,26.3,69.3
2017-05-01,13:16:41,29.7,69.8
2017-05-01,13:17:12,27.1,69.3
2017-05-01,13:17:44,31.4,72
2017-05-01,13:18:16,22.5,67.7
2017-05-01,13:18:47,22,70.4
2017-05-01,13:19:19,23.5,69.3
2017-05-01,13:19:50,24.9,70.4
2017-05-01,13:20:21,26.4,69.8
2017-05-01,13:20:53,23.2,68.8
2017-05-01,13:21:24,33.1,71.4
2017-05-01,13:35:14,17.3,69.3
2017-05-01,13:35:45,34.8,68.8
2017-05-01,13:36:18,34.5,69.3
2017-05-01,13:36:39,22.6,69.8
2017-05-01,13:37:01,21.6,67.1
2017-05-01,13:37:22,8.9,65
2017-05-01,13:37:44,8.6,65
2017-05-01,13:38:05,9.3,65
2017-05-01,13:38:26,18.1,66.6
